CLUSTER,response,count,raw_prev_rate,urban,age_1524,age_65up,female,sindh,kpk,dirtyfuel_2011,underweight_2012,pak_bsgmi_v0a_100m_2011,asin_bsgmi,LONGITUDE,LATITUDE
1,5,1268,0.003943217665615142,Yes,0.30441640378548895,0.062302839116719244,0.6009463722397477,0.0,0.0,0.27910441520561496,0.0672223053623754,0.9847619022641858,1.44703796195792,73.06755130634076,33.61840937079727
2,2,1085,0.0018433179723502304,No,0.2894009216589862,0.09032258064516129,0.6009216589861751,0.0,0.0,0.37377947710846404,0.0645972148131302,0.0709090905094689,0.269539517329762,73.23213924799772,33.40769122242777
3,5,1199,0.004170141784820684,No,0.25604670558799,0.10592160133444536,0.6688907422852377,0.0,0.0,0.518817461492991,0.0410189184854216,0.0236228287183026,0.154308849842102,72.81991518652255,32.578732263280465
4,2,1136,0.0017605633802816902,Yes,0.35827464788732394,0.05985915492957746,0.5871478873239436,0.0,0.0,0.49414147553757704,0.0421412651985261,0.0528571428731084,0.231981930306292,72.84525915226163,32.450251943882755
5,5,1316,0.003799392097264438,No,0.30927051671732525,0.12386018237082067,0.5501519756838906,0.0,0.0,0.500726928358969,0.0449224243164274,0.0568163262946265,0.24067863449947802,73.55564974783444,32.46614313757996
6,0,857,0.0,No,0.2508751458576429,0.10385064177362893,0.6604434072345391,0.0,0.0,0.4105697280281311,0.0445858936598265,0.11814569494384801,0.350878892469391,73.86151217352298,32.762024582917036
7,5,1052,0.004752851711026616,Yes,0.26806083650190116,0.09125475285171103,0.7347908745247148,0.0,0.0,0.28799555217291495,0.0479930236762694,0.0293467333867921,0.172158038135362,74.06224054061033,32.45617554748462
8,3,1121,0.0026761819803746653,Yes,0.44603033006244425,0.029438001784121322,0.6021409455842998,0.0,0.0,0.236089153363224,0.0519943144050192,0.7067368407782759,0.998531084052367,74.20355978789998,32.165816817348244
9,0,1062,0.0,No,0.3220338983050847,0.11393596986817325,0.6139359698681732,0.0,0.0,0.29242592165357,0.060700114963503,0.0295522388126423,0.17276581758705098,74.03287941947109,32.0402823232191
10,4,1230,0.0032520325203252032,No,0.34796747967479674,0.08943089430894309,0.5634146341463414,0.0,0.0,0.53528542118906,0.053252774191025004,0.0536923071512809,0.233841329084479,74.64835865640677,32.4453848495778
11,7,1112,0.006294964028776978,Yes,0.32823741007194246,0.046762589928057555,0.539568345323741,0.0,0.0,0.45720931062881204,0.0527123837961672,0.0741176458404345,0.275725974672282,74.53403722794116,32.5916487805088
12,2,1172,0.0017064846416382253,No,0.3165529010238908,0.12286689419795221,0.64419795221843,0.0,0.0,0.8639493106000931,0.0721832529097151,0.0199043061316869,0.141554889355014,75.07277355149965,32.43957673577441
13,3,1203,0.0024937655860349127,No,0.23773898586866168,0.10972568578553615,0.5411471321695761,0.0,0.0,0.48856739333078997,0.0643085302136645,0.0106122447114412,0.10319883020353099,73.65284968062815,31.909880267290784
14,1,1189,0.0008410428931875525,Yes,0.3389402859545837,0.04121110176619008,0.5777964676198486,0.0,0.0,0.21465911896135004,0.0736818901844881,0.10864450111794699,0.33589327122936896,74.01405492921974,31.654049301843852
15,11,1157,0.00950734658599827,No,0.2713915298184961,0.09334485738980121,0.5168539325842697,0.0,0.0,0.841081389180702,0.124126357722936,0.0416806719633711,0.20560397201973896,73.73211842094518,31.23848554581853
16,2,1122,0.0017825311942959,No,0.3172905525846702,0.09893048128342247,0.5784313725490197,0.0,0.0,0.468625135322294,0.05424686676841299,0.0213281249016291,0.14656569632430802,74.50718631048666,31.968860288660828
